sample_id	index	frac_genome	type
SA604-ALL	0.158168083097262	16501	DNA
SA604-ALL	0.158640226628895	16502	DNA
SA604-ALL	0.159112370160529	16502	DNA
SA604-ALL	0.159584513692162	16502	DNA
SA604-ALL	0.160056657223796	16502	DNA
SA604-ALL	0.16052880075543	16502	DNA
SA604-ALL	0.161000944287063	16503	DNA
SA604-ALL	0.161473087818697	16503	DNA
SA604-ALL	0.161945231350331	16503	DNA
SA604-ALL	0.162417374881964	16503	DNA
SA604-ALL	0.162889518413598	16505	DNA
SA604-ALL	0.163361661945231	16505	DNA
SA604-ALL	0.163833805476865	16505	DNA
SA604-ALL	0.164305949008499	16506	DNA
SA604-ALL	0.164778092540132	16506	DNA
SA604-ALL	0.165250236071766	16506	DNA
SA604-ALL	0.165722379603399	16507	DNA
SA604-ALL	0.166194523135033	16507	DNA
SA604-ALL	0.166666666666667	16507	DNA
SA604-ALL	0.1671388101983	16508	DNA
SA604-ALL	0.167610953729934	16508	DNA
SA604-ALL	0.168083097261568	16508	DNA
SA604-ALL	0.168555240793201	16508	DNA
SA604-ALL	0.169027384324835	16508	DNA
SA604-ALL	0.169499527856468	16508	DNA
SA604-ALL	0.169971671388102	16508	DNA
SA604-ALL	0.170443814919736	16509	DNA
SA604-ALL	0.170915958451369	16509	DNA
SA604-ALL	0.171388101983003	16509	DNA
SA604-ALL	0.171860245514636	16509	DNA
SA604-ALL	0.17233238904627	16509	DNA
SA604-ALL	0.172804532577904	16510	DNA
SA604-ALL	0.173276676109537	16510	DNA
SA604-ALL	0.173748819641171	16510	DNA
SA604-ALL	0.174220963172805	16511	DNA
SA604-ALL	0.174693106704438	16511	DNA
SA604-ALL	0.175165250236072	16511	DNA
SA604-ALL	0.175637393767705	16512	DNA
SA604-ALL	0.176109537299339	16512	DNA
SA604-ALL	0.176581680830973	16513	DNA
SA604-ALL	0.177053824362606	16513	DNA
SA604-ALL	0.17752596789424	16514	DNA
SA604-ALL	0.177998111425873	16514	DNA
SA604-ALL	0.178470254957507	16514	DNA
SA604-ALL	0.178942398489141	16515	DNA
SA604-ALL	0.179414542020774	16515	DNA
SA604-ALL	0.179886685552408	16515	DNA
SA604-ALL	0.180358829084042	16515	DNA
SA604-ALL	0.180830972615675	16515	DNA
SA604-ALL	0.181303116147309	16516	DNA
SA604-ALL	0.181775259678942	16516	DNA
SA604-ALL	0.182247403210576	16516	DNA
SA604-ALL	0.18271954674221	16516	DNA
SA604-ALL	0.183191690273843	16517	DNA
SA604-ALL	0.183663833805477	16517	DNA
SA604-ALL	0.18413597733711	16517	DNA
SA604-ALL	0.184608120868744	16517	DNA
SA604-ALL	0.185080264400378	16517	DNA
SA604-ALL	0.185552407932011	16518	DNA
SA604-ALL	0.186024551463645	16518	DNA
SA604-ALL	0.186496694995279	16518	DNA
SA604-ALL	0.186968838526912	16519	DNA
SA604-ALL	0.187440982058546	16519	DNA
SA604-ALL	0.187913125590179	16519	DNA
SA604-ALL	0.188385269121813	16519	DNA
SA604-ALL	0.188857412653447	16519	DNA
SA604-ALL	0.18932955618508	16520	DNA
SA604-ALL	0.189801699716714	16520	DNA
SA604-ALL	0.190273843248348	16520	DNA
SA604-ALL	0.190745986779981	16520	DNA
SA604-ALL	0.191218130311615	16521	DNA
SA604-ALL	0.191690273843248	16521	DNA
SA604-ALL	0.192162417374882	16521	DNA
SA604-ALL	0.192634560906516	16521	DNA
SA604-ALL	0.193106704438149	16521	DNA
SA604-ALL	0.193578847969783	16521	DNA
SA604-ALL	0.194050991501416	16522	DNA
SA604-ALL	0.19452313503305	16522	DNA
SA604-ALL	0.194995278564684	16522	DNA
SA604-ALL	0.195467422096317	16523	DNA
SA604-ALL	0.195939565627951	16523	DNA
SA604-ALL	0.196411709159585	16523	DNA
SA604-ALL	0.196883852691218	16523	DNA
SA604-ALL	0.197355996222852	16523	DNA
SA604-ALL	0.197828139754485	16523	DNA
SA604-ALL	0.198300283286119	16524	DNA
SA604-ALL	0.198772426817753	16524	DNA
SA604-ALL	0.199244570349386	16524	DNA
SA604-ALL	0.19971671388102	16524	DNA
SA604-ALL	0.200188857412653	16524	DNA
SA604-ALL	0.200661000944287	16524	DNA
SA604-ALL	0.201133144475921	16524	DNA
SA604-ALL	0.201605288007554	16525	DNA
SA604-ALL	0.202077431539188	16525	DNA
SA604-ALL	0.202549575070822	16525	DNA
SA604-ALL	0.203021718602455	16525	DNA
SA604-ALL	0.203493862134089	16525	DNA
SA604-ALL	0.203966005665722	16526	DNA
SA604-ALL	0.204438149197356	16526	DNA
SA604-ALL	0.20491029272899	16526	DNA
SA604-ALL	0.205382436260623	16526	DNA
SA604-ALL	0.205854579792257	16527	DNA
SA604-ALL	0.20632672332389	16527	DNA
SA604-ALL	0.206798866855524	16527	DNA
SA604-ALL	0.207271010387158	16527	DNA
SA604-ALL	0.207743153918791	16527	DNA
SA604-ALL	0.208215297450425	16527	DNA
SA604-ALL	0.208687440982059	16527	DNA
SA604-ALL	0.209159584513692	16528	DNA
SA604-ALL	0.209631728045326	16528	DNA
SA604-ALL	0.210103871576959	16528	DNA
SA604-ALL	0.210576015108593	16528	DNA
SA604-ALL	0.211048158640227	16528	DNA
SA604-ALL	0.21152030217186	16528	DNA
SA604-ALL	0.211992445703494	16528	DNA
SA604-ALL	0.212464589235127	16528	DNA
SA604-ALL	0.212936732766761	16529	DNA
SA604-ALL	0.213408876298395	16529	DNA
SA604-ALL	0.213881019830028	16529	DNA
SA604-ALL	0.214353163361662	16529	DNA
SA604-ALL	0.214825306893296	16529	DNA
SA604-ALL	0.215297450424929	16529	DNA
SA604-ALL	0.215769593956563	16529	DNA
SA604-ALL	0.216241737488196	16530	DNA
SA604-ALL	0.21671388101983	16530	DNA
SA604-ALL	0.217186024551464	16530	DNA
SA604-ALL	0.217658168083097	16530	DNA
SA604-ALL	0.218130311614731	16530	DNA
SA604-ALL	0.218602455146365	16530	DNA
SA604-ALL	0.219074598677998	16531	DNA
SA604-ALL	0.219546742209632	16531	DNA
SA604-ALL	0.220018885741265	16531	DNA
SA604-ALL	0.220491029272899	16532	DNA
SA604-ALL	0.220963172804533	16532	DNA
SA604-ALL	0.221435316336166	16532	DNA
SA604-ALL	0.2219074598678	16532	DNA
SA604-ALL	0.222379603399433	16532	DNA
SA604-ALL	0.222851746931067	16532	DNA
SA604-ALL	0.223323890462701	16533	DNA
SA604-ALL	0.223796033994334	16533	DNA
SA604-ALL	0.224268177525968	16533	DNA
SA604-ALL	0.224740321057601	16533	DNA
SA604-ALL	0.225212464589235	16533	DNA
SA604-ALL	0.225684608120869	16533	DNA
SA604-ALL	0.226156751652502	16533	DNA
SA604-ALL	0.226628895184136	16533	DNA
SA604-ALL	0.22710103871577	16533	DNA
SA604-ALL	0.227573182247403	16533	DNA
SA604-ALL	0.228045325779037	16534	DNA
SA604-ALL	0.22851746931067	16534	DNA
SA604-ALL	0.228989612842304	16534	DNA
SA604-ALL	0.229461756373938	16534	DNA
SA604-ALL	0.229933899905571	16534	DNA
SA604-ALL	0.230406043437205	16534	DNA
SA604-ALL	0.230878186968839	16535	DNA
SA604-ALL	0.231350330500472	16535	DNA
SA604-ALL	0.231822474032106	16535	DNA
SA604-ALL	0.232294617563739	16535	DNA
SA604-ALL	0.232766761095373	16535	DNA
SA604-ALL	0.233238904627007	16535	DNA
SA604-ALL	0.23371104815864	16535	DNA
SA604-ALL	0.234183191690274	16535	DNA
SA604-ALL	0.234655335221907	16536	DNA
